Number,Date,Team.Stats.for,Match.x,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers.Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,PensConceded,Free.Kicks,Scrum.Pens,LO.Pens,Tackle.Ruck...Maul.Pens,Gen.Play.Pens,Control.Pens,YellowCards,RedCards,Match.Type,Season,PF,PA,PD,Match.Outcome,Home.or.Away,Match.y,Total.Penalty.Conceded,Lineout.Penalty,Scrum.Penalty
24,02/11/2020,Glasgow,Glasgow Warriors v Leinster,3,0,2,0,1,0,129,270,20,6,149,153,13,10,16,5,3,13,4,4,1,100,4,14,0,4,0,4,5,1,1,0,Regular,S20,19,32,-13,L,H,Glasgow vs Leinster,14,0,4
25,02/11/2020,Leinster,Glasgow Warriors v Leinster,4,2,3,0,1,0,123,405,13,6,150,151,20,12,26,5,6,17,0,6,0,98,3,11,0,1,0,4,4,2,1,0,Regular,S20,32,19,13,W,A,Glasgow vs Leinster,11,0,1
26,02/11/2020,Ospreys,Zebre v Ospreys,2,1,2,0,1,0,80,191,8,3,100,151,14,12,26,4,1,13,6,8,0,67,5,11,1,2,1,8,0,0,0,0,Regular,S20,17,23,-6,L,A,Zebre vs Ospreys,10,1,1
27,02/11/2020,Ulster,Cardiff Blues v Ulster,1,2,0,0,1,0,126,308,12,1,120,101,9,11,27,6,5,12,2,17,1,114,6,8,0,0,0,6,2,0,0,0,Regular,S20,11,7,4,W,A,Cardiff vs Ulster,8,0,0
28,02/11/2020,Zebre,Zebre v Ospreys,2,3,2,0,0,0,110,337,14,6,142,105,8,12,35,7,9,10,1,3,1,94,3,16,1,5,0,6,4,1,1,0,Regular,S20,23,17,6,W,H,Zebre vs Ospreys,15,0,4
29,03/10/2020,Connacht,Connacht v Glasgow Warriors,3,3,2,0,2,0,105,272,4,10,129,126,15,6,21,7,4,13,2,4,1,79,3,13,2,3,3,6,0,1,1,0,Regular,S20,28,24,4,W,H,Connacht vs Glasgow,11,3,1
30,03/10/2020,Edinburgh,Edinburgh v Ospreys,1,1,0,0,2,1,69,234,17,5,79,84,7,18,29,4,7,15,0,6,1,55,3,9,1,4,0,4,0,1,1,0,Regular,S20,10,25,-15,L,H,Edinburgh vs Ospreys,8,0,3
31,03/10/2020,Glasgow,Connacht v Glasgow Warriors,3,1,3,0,1,0,112,398,15,5,155,114,4,9,17,13,4,14,1,4,0,92,3,12,0,2,0,6,1,3,0,0,Regular,S20,24,28,-4,L,A,Connacht vs Glasgow,12,0,2
32,03/10/2020,Munster,Scarlets v Munster,3,3,3,0,1,0,88,324,16,3,87,84,10,17,17,5,1,11,2,3,1,65,3,13,0,1,0,10,1,1,1,1,Regular,S20,30,27,3,W,A,Scarlets vs Munster,13,0,1
33,03/10/2020,Ospreys,Edinburgh v Ospreys,3,2,2,0,1,0,74,229,7,2,92,88,17,13,37,9,6,12,0,8,0,60,4,11,0,1,0,7,1,2,1,0,Regular,S20,25,10,15,W,A,Edinburgh vs Ospreys,11,0,1
34,03/10/2020,Scarlets,Scarlets v Munster,0,9,0,0,0,0,88,243,10,6,105,102,16,10,30,7,9,9,3,6,0,61,3,14,0,3,1,9,0,1,0,0,Regular,S20,27,30,-3,L,H,Scarlets vs Munster,14,1,3
35,04/12/2020,Benetton,Connacht v Benetton,2,0,2,0,0,0,83,331,15,10,114,156,17,17,19,4,4,13,3,6,3,65,0,12,1,5,1,1,1,4,1,0,Regular,S20,14,31,-17,L,A,Connacht vs Benetton,11,0,5
36,04/12/2020,Connacht,Connacht v Benetton,5,0,3,0,2,0,106,342,17,2,99,104,15,10,19,8,3,10,5,11,1,91,3,11,1,1,2,6,1,1,0,0,Regular,S20,31,14,17,W,H,Connacht vs Benetton,10,1,1
37,05/02/2021,Connacht,Dragons v Connacht,4,1,2,1,3,0,79,284,17,5,103,139,22,7,34,5,3,18,1,6,1,59,5,17,1,1,0,11,4,1,1,0,Regular,S20,30,20,10,W,A,Dragons vs Connacht,16,0,0
38,05/02/2021,Dragons,Dragons v Connacht,3,1,1,0,2,0,120,298,22,3,141,98,17,14,29,4,4,20,1,3,1,91,0,10,1,2,1,5,0,2,0,0,Regular,S20,20,30,-10,L,H,Dragons vs Connacht,9,1,1
39,05/03/2021,Connacht,Munster v Connacht,2,1,2,0,0,0,82,259,19,4,121,120,10,10,25,9,3,9,2,5,0,64,4,15,0,0,1,10,3,2,1,0,Regular,S20,17,20,-3,L,A,Munster vs Connacht,15,1,0
40,05/03/2021,Munster,Munster v Connacht,2,2,2,0,2,0,93,299,10,5,104,100,19,4,29,3,5,13,6,4,0,74,3,9,0,0,0,7,2,0,1,0,Regular,S20,20,17,3,W,H,Munster vs Connacht,9,0,0
41,05/12/2020,Dragons,Glasgow Warriors v Dragons,2,2,2,1,0,0,78,208,10,1,93,235,18,7,32,3,6,16,2,3,0,66,3,11,1,3,0,4,3,2,2,0,Regular,S20,23,22,1,W,A,Glasgow vs Dragons,10,0,2
42,05/12/2020,Glasgow,Glasgow Warriors v Dragons,3,1,2,0,1,0,160,466,18,5,185,100,10,9,26,6,4,13,1,5,0,145,3,12,0,1,1,5,2,3,1,0,Regular,S20,22,23,-1,L,H,Glasgow vs Dragons,12,1,1
43,06/03/2021,Dragons,Ospreys v Dragons,5,0,3,0,3,0,75,306,12,4,113,137,17,8,31,7,2,18,3,3,0,57,1,14,2,3,3,4,2,2,1,0,Regular,S20,31,20,11,W,A,Ospreys vs Dragons,12,2,2
44,06/03/2021,Glasgow,Zebre v Glasgow Warriors,4,1,4,0,0,0,123,485,20,6,148,103,21,14,22,14,9,14,0,8,1,85,2,11,1,2,0,5,4,0,2,0,Regular,S20,31,20,11,W,A,Zebre vs Glasgow,10,0,1
45,06/03/2021,Leinster,Ulster v Leinster,5,1,5,0,0,0,152,367,16,5,134,164,25,5,14,3,1,13,0,3,0,127,3,10,0,0,0,6,2,2,3,0,Regular,S20,38,19,19,W,A,Ulster vs Leinster,10,0,0
46,06/03/2021,Ospreys,Ospreys v Dragons,2,2,2,0,0,0,95,336,17,2,136,92,12,7,34,6,2,13,1,5,2,79,2,14,2,2,1,7,2,2,1,0,Regular,S20,20,31,-11,L,H,Ospreys vs Dragons,12,1,0
47,06/03/2021,Ulster,Ulster v Leinster,3,0,2,0,1,0,120,249,25,10,148,226,16,6,11,8,5,11,0,2,0,97,1,17,0,3,0,4,6,4,2,1,Regular,S20,19,38,-19,L,H,Ulster vs Leinster,17,0,3
48,06/03/2021,Zebre,Zebre v Glasgow Warriors,2,2,2,0,1,0,94,376,21,12,116,130,20,16,14,9,6,12,4,6,0,59,0,9,1,2,0,5,2,0,2,0,Regular,S20,20,31,-11,L,H,Zebre vs Glasgow,8,0,1
49,08/01/2021,Leinster,Leinster v Ulster,4,0,2,0,3,0,136,412,31,6,153,183,15,9,24,13,5,11,3,4,0,107,5,10,0,0,0,8,2,0,0,0,Regular,S20,24,12,12,W,H,Leinster vs Ulster,10,0,0
50,08/01/2021,Ulster,Leinster v Ulster,0,4,0,0,0,0,137,207,15,6,184,167,31,9,28,1,6,9,2,5,0,120,2,13,1,2,0,6,2,3,1,0,Regular,S20,12,24,-12,L,A,Leinster vs Ulster,12,0,1
51,08/11/2020,Leinster,Ospreys v Leinster,4,0,3,0,2,0,135,463,19,9,142,169,11,18,27,10,6,7,3,6,0,109,0,8,0,2,0,6,0,0,1,0,Regular,S20,26,7,19,W,A,Ospreys vs Leinster,8,0,2
52,08/11/2020,Ospreys,Ospreys v Leinster,1,0,0,0,1,1,118,171,11,1,153,175,19,10,28,3,6,14,3,8,0,107,3,11,2,2,0,7,1,1,0,0,Regular,S20,7,26,-19,L,H,Ospreys vs Leinster,9,0,0
53,08/11/2020,Scarlets,Scarlets v Zebre,2,2,1,0,2,0,90,352,27,6,147,57,10,15,22,8,4,10,1,9,1,64,2,16,1,3,0,5,5,3,0,0,Regular,S20,18,17,1,W,H,Scarlets vs Zebre,15,0,2
54,08/11/2020,Zebre,Scarlets v Zebre,1,4,0,0,2,0,60,229,10,2,90,93,27,12,24,6,5,12,3,5,1,41,1,11,3,6,0,2,3,0,0,0,Regular,S20,17,18,-1,L,A,Scarlets vs Zebre,8,0,3
55,09/01/2021,Benetton,Zebre v Benetton,2,2,1,0,1,0,97,366,14,10,129,120,13,10,33,5,4,13,2,5,0,71,6,19,0,5,0,11,2,1,1,0,Regular,S20,18,22,-4,L,A,Zebre vs Benetton,19,0,5
56,09/01/2021,Cardiff,Cardiff Blues v Scarlets,3,4,1,0,2,0,100,386,23,4,126,105,10,12,24,10,5,14,1,3,1,77,3,12,0,3,1,6,0,2,1,0,Regular,S20,29,20,9,W,H,Cardiff vs Scarlets,12,1,3
57,09/01/2021,Connacht,Connacht v Munster,1,1,1,0,1,0,133,211,19,3,174,113,11,11,23,3,4,20,2,7,0,118,8,13,1,2,0,9,2,1,1,0,Regular,S20,10,16,-6,L,H,Connacht vs Munster,12,0,1
58,09/01/2021,Dragons,Dragons v Ospreys,2,2,2,0,0,0,99,378,21,12,147,129,22,16,24,9,12,10,1,5,0,69,6,15,1,4,0,9,1,2,1,0,Regular,S20,20,28,-8,L,H,Dragons vs Ospreys,14,0,3
59,09/01/2021,Munster,Connacht v Munster,1,3,1,0,0,0,79,192,11,3,107,183,19,9,29,2,9,15,2,4,1,67,4,19,2,4,1,11,1,2,2,0,Regular,S20,16,10,6,W,A,Connacht vs Munster,17,1,2
