Team,Match_ID,Outcome,Carries,Metres_Made,Defenders_Beaten,Offloads,Passes,Tackles,Clean_Breaks,Turnovers_Won,Rucks_Won,Lineout_Throws_Won,Season,Match_Location
Connacht Rugby,268212,win,129,316,21,15,170,123,2,8,8,10,21/22,away
Benetton Rugby,268212,loss,110,293,21,13,145,162,4,7,4,15,21/22,home
Ulster Rugby,268213,loss,121,321,14,10,201,112,2,4,10,16,21/22,home
Munster Rugby,268213,win,99,298,8,7,133,129,2,6,7,11,21/22,away
Ospreys,268214,win,93,330,11,7,136,107,3,7,5,15,21/22,away
Cardiff Rugby,268214,loss,90,281,8,13,128,114,1,9,8,12,21/22,home
Dragons RFC,268215,loss,152,331,16,12,189,93,3,2,4,13,21/22,home
Scarlets,268215,win,75,327,10,9,112,199,9,6,4,12,21/22,away
Vodacom Bulls,268216,win,145,393,9,15,156,45,4,5,10,14,21/22,home
Benetton Rugby,268216,loss,55,216,12,6,77,144,3,8,5,11,21/22,away
Emirates Lions,268217,loss,112,382,25,15,111,65,4,5,6,13,21/22,home
Connacht Rugby,268217,win,72,207,9,8,82,118,4,8,4,10,21/22,away
Hollywoodbets Sharks,268218,win,71,457,16,8,70,111,6,1,3,12,21/22,home
Leinster Rugby,268218,loss,83,168,10,4,83,62,2,4,0,9,21/22,away
Glasgow Warriors,268219,loss,64,161,11,5,79,95,1,12,7,14,21/22,away
DHL Stormers,268219,win,99,448,15,16,132,79,7,6,6,12,21/22,home
Edinburgh Rugby,268220,win,134,313,19,7,146,85,5,8,5,11,21/22,home
Zebre Parma,268220,loss,82,378,22,14,106,174,8,5,3,6,21/22,away
Cardiff Rugby,268221,loss,130,377,25,6,186,182,9,4,4,14,21/22,away
Munster Rugby,268221,win,157,487,31,23,210,147,9,9,3,7,21/22,home
Scarlets,268222,loss,104,436,13,16,147,127,9,3,4,13,21/22,away
Ospreys,268222,win,109,369,21,12,151,122,10,4,2,13,21/22,home
Glasgow Warriors,268223,loss,87,270,13,4,145,103,4,2,8,17,21/22,away
Vodacom Bulls,268223,win,76,214,4,4,93,103,4,3,4,18,21/22,home
Emirates Lions,268224,win,110,468,22,15,139,102,6,8,7,11,21/22,home
Benetton Rugby,268224,loss,91,414,11,11,131,125,6,7,9,16,21/22,away
Hollywoodbets Sharks,268225,win,106,389,23,9,117,91,7,7,4,12,21/22,home
Connacht Rugby,268225,loss,92,240,9,11,118,118,2,6,5,12,21/22,away
DHL Stormers,268226,win,80,272,25,8,118,86,4,4,1,13,21/22,home
Leinster Rugby,268226,loss,78,187,11,11,90,87,1,6,5,17,21/22,away
Ulster Rugby,268227,win,92,289,16,4,110,199,3,5,4,11,21/22,away
Edinburgh Rugby,268227,loss,165,391,21,9,187,116,6,6,9,13,21/22,home
Zebre Parma,268228,win,137,452,29,9,189,92,3,5,7,13,21/22,home
Dragons RFC,268228,loss,78,226,12,8,124,166,3,5,4,13,21/22,away
Zebre Parma,268229,loss,112,389,22,9,169,118,5,4,3,13,21/22,away
Connacht Rugby,268229,win,94,354,13,8,122,137,8,8,8,16,21/22,home
Leinster Rugby,268230,win,123,347,18,5,152,152,3,4,5,12,21/22,home
Edinburgh Rugby,268230,loss,123,276,22,9,140,132,3,5,2,9,21/22,away
Ulster Rugby,268231,win,91,305,22,12,138,196,5,9,3,13,21/22,home
Hollywoodbets Sharks,268231,loss,152,436,30,12,188,102,5,5,14,11,21/22,away
Dragons RFC,268232,loss,99,466,11,14,178,104,5,13,8,14,21/22,home
Emirates Lions,268232,win,94,489,20,8,125,87,6,7,4,13,21/22,away
Scarlets,268233,loss,105,300,25,8,122,98,5,5,2,16,21/22,home
DHL Stormers,268233,win,92,371,32,12,120,109,7,9,5,10,21/22,away
Ospreys,268234,loss,111,324,11,7,141,107,4,12,7,7,21/22,home
Vodacom Bulls,268234,win,109,370,19,16,136,116,5,9,4,12,21/22,away
Munster Rugby,268235,loss,105,210,9,3,126,91,1,7,5,11,21/22,away
Glasgow Warriors,268235,win,82,229,8,4,109,147,2,3,6,15,21/22,home
Cardiff Rugby,268236,loss,103,275,10,6,130,78,2,5,6,10,21/22,away
Benetton Rugby,268236,win,94,575,15,15,136,114,11,5,1,15,21/22,home
Dragons RFC,271773,loss,78,171,6,6,95,151,0,5,9,9,22/23,away
Edinburgh Rugby,271773,win,116,377,17,6,146,109,8,7,6,17,22/23,home
Ulster Rugby,271774,win,151,388,19,7,176,92,7,4,6,19,22/23,home
Connacht Rugby,271774,loss,77,250,5,1,95,186,1,7,5,8,22/23,away
Benetton Rugby,271775,win,80,245,10,6,97,140,5,10,6,13,22/23,home
Glasgow Warriors,271775,loss,124,314,14,10,159,83,4,5,7,11,22/23,away
Leinster Rugby,271776,win,97,233,9,10,129,95,3,5,4,12,22/23,away
Zebre Parma,271776,loss,103,364,23,19,136,101,8,5,4,12,22/23,home
Cardiff Rugby,271778,win,150,512,42,17,173,135,11,10,4,10,22/23,home
Munster Rugby,271778,loss,117,403,23,8,144,178,2,7,9,14,22/23,away
Hollywoodbets Sharks,271779,loss,129,397,14,14,138,73,5,4,4,12,22/23,home
DHL Stormers,271779,win,75,462,16,11,91,147,9,8,3,12,22/23,away
Emirates Lions,271780,loss,90,274,20,13,128,108,1,5,3,18,22/23,home
Vodacom Bulls,271780,win,102,496,6,18,143,103,2,6,4,9,22/23,away
Zebre Parma,271781,loss,90,388,20,12,113,100,6,1,3,16,22/23,home
Hollywoodbets Sharks,271781,win,76,415,15,3,94,86,6,3,4,8,22/23,away
Glasgow Warriors,271782,win,157,507,18,18,227,85,7,11,4,13,22/23,home
Cardiff Rugby,271782,loss,75,313,15,5,94,162,3,3,5,10,22/23,away
Benetton Rugby,271783,loss,99,278,14,13,116,162,2,10,5,7,22/23,away
Leinster Rugby,271783,win,143,388,21,11,199,104,3,4,7,18,22/23,home
Connacht Rugby,271784,loss,113,376,19,4,140,64,5,5,8,17,22/23,away
DHL Stormers,271784,win,70,356,13,9,112,145,5,2,3,13,22/23,home
Edinburgh Rugby,271785,loss,98,241,18,10,122,85,5,4,5,14,22/23,away
Vodacom Bulls,271785,win,71,163,7,5,91,109,3,4,6,20,22/23,home
Scarlets,271786,loss,103,293,13,8,116,191,7,7,9,12,22/23,home
Ulster Rugby,271786,win,152,557,18,11,195,116,3,7,3,7,22/23,away
Emirates Lions,271787,win,71,249,7,4,80,120,2,7,4,12,22/23,away
Ospreys,271787,loss,130,334,22,19,206,84,4,5,4,11,22/23,home
Munster Rugby,271788,loss,118,365,17,10,159,128,3,3,5,9,22/23,away
Dragons RFC,271788,win,115,419,22,12,144,149,4,7,9,7,22/23,home
Emirates Lions,271789,win,80,260,12,5,84,82,2,5,2,16,22/23,away
Cardiff Rugby,271789,loss,79,270,8,8,122,105,3,4,4,12,22/23,home
Ulster Rugby,271790,loss,101,269,13,5,105,115,1,4,6,11,22/23,home
Leinster Rugby,271790,win,85,178,6,3,88,124,1,9,4,11,22/23,away
Benetton Rugby,271791,win,109,385,19,7,107,106,4,3,4,14,22/23,home
Scarlets,271791,loss,99,222,15,6,120,113,4,4,6,10,22/23,away
Edinburgh Rugby,271792,loss,107,254,18,9,147,82,2,8,6,9,22/23,away
DHL Stormers,271792,win,82,291,18,10,102,128,5,5,6,9,22/23,home
Vodacom Bulls,271793,win,90,431,7,8,102,119,4,10,4,17,22/23,home
Connacht Rugby,271793,loss,114,340,24,12,167,108,6,7,9,13,22/23,away
Ospreys,271794,win,64,203,11,2,101,121,5,10,1,13,22/23,home
Glasgow Warriors,271794,loss,101,267,14,2,167,76,1,5,5,22,22/23,away
Zebre Parma,271795,loss,76,159,14,5,105,104,1,12,6,12,22/23,away
Munster Rugby,271795,win,100,232,9,15,128,90,1,6,8,13,22/23,home
Hollywoodbets Sharks,271796,win,102,513,26,10,108,144,7,7,9,13,22/23,away
Dragons RFC,271796,loss,124,311,18,11,133,112,4,9,6,11,22/23,home
Emirates Lions,271797,win,91,314,18,3,115,132,6,7,5,12,22/23,away
Edinburgh Rugby,271797,loss,119,488,34,4,177,130,7,4,9,13,22/23,home
Zebre Parma,271798,loss,83,210,8,10,85,77,2,4,2,7,22/23,home
DHL Stormers,271798,win,62,178,10,2,77,96,2,3,6,13,22/23,away
Glasgow Warriors,271799,win,104,376,26,7,149,130,5,16,5,15,22/23,home
Vodacom Bulls,271799,loss,105,307,15,3,111,123,4,4,14,16,22/23,away
