season,team,match_location,outcome,outcome_binary,final_points_absolute,final_points_relative,abs_carries,abs_metres_made,abs_defenders_beaten,abs_clean_breaks,abs_offloads,abs_passes,abs_turnovers_conceded,abs_turnovers_won,abs_kicks_from_hand,abs_kick_metres,abs_scrums_won,abs_rucks_won,abs_lineout_throws_lost,abs_lineout_throws_won,abs_tackles,abs_missed_tackles,abs_penalties_conceded,abs_scrum_pens_conceded,abs_lineout_pens_conceded,abs_general_play_pens_conceded,abs_free_kicks_conceded,abs_ruck_maul_tackle_pen_con,abs_red_cards,abs_yellow_cards,rel_carries,rel_metres_made,rel_defenders_beaten,rel_clean_breaks,rel_offloads,rel_passes,rel_turnovers_conceded,rel_turnovers_won,rel_kicks_from_hand,rel_kick_metres,rel_scrums_won,rel_rucks_won,rel_lineout_throws_lost,rel_lineout_throws_won,rel_tackles,rel_missed_tackles,rel_penalties_conceded,rel_scrum_pens_conceded,rel_lineout_pens_conceded,rel_general_play_pens_conceded,rel_free_kicks_conceded,rel_ruck_maul_tackle_pen_con,rel_red_cards,rel_yellow_cards
21/22,Ospreys,away,win,1,29,3,90,371,16,3,13,109,8,6,28,1127,5,2,5,13,132,28,12,0,1,4,0,4,0,2,-38,-168,-12,-5,2,-64,-9,3,3,139,0,-4,5,0,59,12,2,-1,0,2,0,4,0,2
21/22,Benetton Rugby,home,loss,0,26,-3,128,539,28,8,11,173,17,3,25,988,5,6,0,13,73,16,10,1,1,2,0,0,0,0,38,168,12,5,-2,64,9,-3,-3,-139,0,4,-5,0,-59,-12,-2,1,0,-2,0,-4,0,-2
21/22,Scarlets,away,loss,0,15,-35,83,280,12,3,7,112,12,8,19,576,10,5,2,6,143,32,14,5,0,0,0,2,0,1,-68,-348,-20,-8,-13,-94,-8,2,0,-30,4,0,2,-7,55,20,7,2,-1,0,-1,1,0,1
21/22,Leinster Rugby,home,win,1,50,35,151,628,32,11,20,206,20,6,19,606,6,5,0,13,88,12,7,3,1,0,1,1,0,0,68,348,20,8,13,94,8,-2,0,30,-4,0,-2,7,-55,-20,-7,-2,1,0,1,-1,0,-1
21/22,Edinburgh Rugby,home,win,1,17,7,113,362,26,5,9,116,10,14,29,803,7,8,4,13,130,18,14,1,2,4,0,2,0,0,17,102,8,2,2,27,-6,8,10,90,4,0,2,0,9,-8,-3,-4,1,3,0,-1,0,0
21/22,Vodacom Bulls,away,loss,0,10,-7,96,260,18,3,7,89,16,6,19,713,3,8,2,13,121,26,17,5,1,1,0,3,0,0,-17,-102,-8,-2,-2,-27,6,-8,-10,-90,-4,0,-2,0,-9,8,3,4,-1,-3,0,1,0,0
21/22,Munster Rugby,home,win,1,20,2,140,374,17,3,7,107,12,9,31,717,9,6,4,13,75,17,9,0,0,1,0,5,0,0,68,113,0,1,5,27,-3,3,10,-181,3,-2,1,5,-103,0,-6,-2,0,-4,-1,1,0,-1
21/22,Connacht Rugby,away,loss,0,18,-2,72,261,17,2,2,80,15,6,21,898,6,8,3,8,178,17,15,2,0,5,1,4,0,1,-68,-113,0,-1,-5,-27,3,-3,-10,181,-3,2,-1,-5,103,0,6,2,0,4,1,-1,0,1
21/22,Hollywoodbets Sharks,away,loss,0,17,-6,97,251,12,1,4,96,15,9,26,1129,4,6,1,15,102,14,10,1,0,2,1,3,0,0,-1,-74,-2,-3,-1,-16,5,-3,-5,-89,-3,1,-1,8,-12,2,-3,0,-1,0,1,1,0,0
21/22,Cardiff Rugby,home,win,1,23,6,98,325,14,4,5,112,10,12,31,1218,7,5,2,7,114,12,13,1,1,2,0,2,0,0,1,74,2,3,1,16,-5,3,5,89,3,-1,1,-8,12,-2,3,0,1,0,-1,-1,0,0
